"Region","ReportLevel","Report"
"Stillorgan, Booterstown and Monkstown","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN80-stillorgan-booterstown-and-monkstown-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Stillorgan, Booterstown and Monkstown summary report"">PDF</a>  "
"Blanchardstown Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN81-blanchardstown-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Blanchardstown Area Network summary report"">PDF</a>  "
"Finglas Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN82-finglas-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Finglas Area Network summary report"">PDF</a>  "
"Blakestown Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN83-blakestown-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Blakestown Area Network summary report"">PDF</a>  "
"Tallaght and Firhouse","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN84-tallaght-and-firhouse-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Tallaght and Firhouse summary report"">PDF</a>  "
"Foxrock, Carrickmines and Shankill","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN85-foxrock-carrickmines-and-shankill-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Foxrock, Carrickmines and Shankill summary report"">PDF</a>  "
"Clondalkin","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN86-clondalkin-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Clondalkin summary report"">PDF</a>  "
"Lucan","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN87-lucan-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Lucan summary report"">PDF</a>  "
"Ballyfermot and Palmerstown","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN88-ballyfermot-and-palmerstown-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Ballyfermot and Palmerstown summary report"">PDF</a>  "
"Rathmines, Terenure and Templeogue","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN89-rathmines-terenure-and-templeogue-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Rathmines, Terenure and Templeogue summary report"">PDF</a>  "
"Cabra Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN90-cabra-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Cabra Area Network summary report"">PDF</a>  "
"Kilbarrack Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN91-kilbarrack-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Kilbarrack Area Network summary report"">PDF</a>  "
"North Inner City Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN92-north-inner-city-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""North Inner City Area Network summary report"">PDF</a>  "
"Clontarf Area Network","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN93-clontarf-area-network-hse-dublin-and-north-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Clontarf Area Network summary report"">PDF</a>  "
"Drimnagh, Crumlin, and Harold's Cross","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN94-drimnagh-crumlin-and-harold-s-cross-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Drimnagh, Crumlin, and Harold's Cross summary report"">PDF</a>  "
"South Dublin Inner City","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN95-south-dublin-inner-city-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""South Dublin Inner City summary report"">PDF</a>  "
"Donnybrook, Ranelagh and Ringsend","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN96-donnybrook-ranelagh-and-ringsend-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Donnybrook, Ranelagh and Ringsend summary report"">PDF</a>  "
"State","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN97-state-state-WIP07-04-2025.pdf"" target=""_blank"" title=""State summary report"">PDF</a>  "
