OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area
"1494",2ae19629-1c97-13a3-e055-000000000001,Y,CARRIGCASTLE,CARRAIG AN CHAISLEÁIN,"227019","1","25",WATERFORD,Port Láirge,PORTLAW-KILMACTHOMAS,25454.136265614008153,-9392697.845927458256483
"1495",2ae19629-1c98-13a3-e055-000000000001,Y,BAILIEBOROUGH,COILL AN CHOLLAIGH,"027004","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,37817.073637664710986,-46192199.658038079738617
"1496",2ae19629-1c99-13a3-e055-000000000001,Y,BALLINTEMPLE,BAILE AN TEAMPAILL,"027005","1","32",CAVAN,An Cabhán,BALLYJAMESDUFF,29934.247352045244043,-16798711.492000684142113
"1497",2ae19629-1c9a-13a3-e055-000000000001,Y,DRUMANESPICK,DROIM AN EASPAIG,"027042","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,21733.500594690300204,-14993903.244431294500828
"1498",2ae19629-1c9b-13a3-e055-000000000001,Y,DRUMCARBAN,DROIM CHEARBÁN,"027043","1","32",CAVAN,An Cabhán,BALLYJAMESDUFF,30509.995245871465158,-19060212.477467715740204
"1499",2ae19629-1c9c-13a3-e055-000000000001,Y,TERMON,AN TEARMANN,"027087","1","32",CAVAN,An Cabhán,BAILIEBOROUGH-COOTEHILL,26069.074316966518381,-19469143.033890262246132
"1500",2ae19629-1c9d-13a3-e055-000000000001,Y,PEDARA VOHERS/TIRCAHAN,CROSBHÓTHAR PHEADAR AN BHÓTHAIR/TÍR CHATHÁIN,"027088","1","32",CAVAN,An Cabhán,CAVAN-BELTURBET,45386.079627274513768,-30167585.945464469492435
"1501",2ae19629-1c9e-13a3-e055-000000000001,Y,TUAM,TUAIM,"027089","1","32",CAVAN,An Cabhán,CAVAN-BELTURBET,26958.804623547363008,-24736638.927603255957365
"1502",2ae19629-1c9f-13a3-e055-000000000001,Y,SKERRIES,NA SCEIRÍ,"267123","1","04",FINGAL,Baile Átha Cliath,BALBRIGGAN,9542.382412765384288,-2326623.146946476772428
"1503",2ae19629-1ca0-13a3-e055-000000000001,Y,STILLORGAN-DEERPARK,STIGH LORGAN-PÁIRC NA BHFIANNA,"267124","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,STILLORGAN,4723.044507038808661,-1021339.707419233280234
"1504",2ae19629-1ca1-13a3-e055-000000000001,Y,STILLORGAN-KILMACUD,STIGH LORGAN-CILL MOCHUDA,"267125","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,STILLORGAN,4067.676505035167338,-917869.957888604258187
"1505",2ae19629-1ca2-13a3-e055-000000000001,Y,STILLORGAN-LEOPARDSTOWN,STIGH LORGAN-BAILE NA LOBHAR,"267126","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,STILLORGAN,3175.645400992294981,-569128.537596633657813
"1506",2ae19629-1ca3-13a3-e055-000000000001,Y,STILLORGAN-MERVILLE,STIGH LORGAN-MERVILLE,"267127","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,STILLORGAN,4523.592864476590876,-1137620.913199212634936
"1507",2ae19629-1ca4-13a3-e055-000000000001,Y,STILLORGAN-MOUNT MERRION,STIGH LORGAN-CNOC MHUIRFEAN,"267128","1","05",DUN LAOGHAIRE/RATHDOWN,Baile Átha Cliath,STILLORGAN,4681.551877256772968,-877570.681391126359813
